TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;09.577.034/0001-18;CAIEIRAS FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;185118007.97;;;SDC;DI1 X DOL
FI;09.601.190/0001-77;NIKOS OURO FUNDO DE INVESTIMENTO MULTIMERCADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3152672.39;;;Outros;999 X 999
FI;09.720.523/0001-87;BB PREV MULTI II FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;77799825.64;;;SDM;DI1 X IGM
FI;09.720.523/0001-87;BB PREV MULTI II FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;25141845.11;;;SFD;IPC X DI1
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;468208437.28;;;Outros;999 X 999
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;418498476.05;;;SDC;DI1 X DOL
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;404575227.95;;;SDP;DI1 X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;373006567.14;;;SDL;DI1 X IAP
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;119949595.30;;;SCP;DOL X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1643977701.28;;;SDC;DI1 X DOL
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;356898791.86;;;SDP;DI1 X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;676472715.17;;;SDL;DI1 X IAP
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;219553478.56;;;SCP;DOL X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;167763772.23;;;Outros;999 X 999
FI;12.553.726/0001-30;MÁXIMA FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO 2;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;0.00;;;SCP;DOL X PRE
FI;12.610.561/0001-91;TOTAL FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR - CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;80539186.87;;2024-01-29;SDL;DI1 X IAP
FI;12.610.561/0001-91;TOTAL FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR - CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;83197183.28;;2024-01-29;SDL;DI1 X IAP
FI;14.239.657/0001-10;FUNDO DE INVESTIMENTO CAIXA MASTER CAPITAL PROTEGIDO IBOVESPA CICLICO I MULTIMERCADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1003998.63;;;SDP;DI1 X PRE
